"Sport","Game_Type","Entry_Key","Entry","Contest_Key","Contest_Date_EST","Place","Points","Winnings_Non_Ticket","Winnings_Ticket","Contest_Entries","Entry_Fee","Prize_Pool","Places_Paid"
"NBA","Classic",2953191422,"Beginner NBA $1 Double Up",117842105,"2021-11-08 19:00:00",21,270,"$0.00","$0.00",39,"$1.00","$34.00",17
"NBA","Classic",2953490024,"Beginner NBA $1 5-Player",117842851,"2021-11-08 19:00:00",2,270,"$1.50","$0.00",5,"$1.00","$4.50",2
"NBA","In-Game Showdown (H2)",2952302471,"NBA In-Game Satellite to NBA $25 Holiday BBall Special (12-25) (2H CHA vs LAC)",117765204,"2021-11-07 22:23:00",56,92.38,"$0.00","$0.00",94,"$0.10","$25.00",1
"NBA","Classic",2951812571,"Beginner NBA $1 5-Player (Night)",117709560,"2021-11-07 20:30:00",1,277.25,"$3.00","$0.00",5,"$1.00","$4.50",2
"NBA","Classic",2946987805,"Beginner NBA $1 Double Up",117622916,"2021-11-06 19:30:00",25,0,"$0.00","$0.00",25,"$1.00","$34.00",17
"NBA","Classic",2947186063,"NBA $1 Double Up",117712074,"2021-11-06 19:30:00",21,199.75,"$0.00","$0.00",21,"$1.00","$20.00",10
"NBA","Classic",2945234148,"Beginner NBA $1 3-Player  (Night)",117572446,"2021-11-05 22:00:00",2,222,"$0.00","$0.00",3,"$1.00","$2.70",1
"NBA","Classic",2943013480,"Beginner NBA $1 Double Up",117487276,"2021-11-04 19:00:00",11,250.25,"$2.00","$0.00",26,"$1.00","$34.00",17
"NHL","Classic",2943238923,"Beginner NHL $1 3-Player",117515093,"2021-11-04 19:00:00",3,49.1,"$0.00","$0.00",3,"$1.00","$2.70",1
"NBA","Classic",2941192413,"Beginner NBA $1 50-50",117393337,"2021-11-03 19:00:00",3,256,"$1.80","$0.00",10,"$1.00","$9.00",5
"NBA","Classic",2939567583,"Beginner NBA $1 5-Player",117315568,"2021-11-02 19:00:00",4,256.25,"$0.00","$0.00",5,"$1.00","$4.50",2
"NHL","Classic",2939860754,"NHL Tuesday Twenty Satellite (Turbo)",117299743,"2021-11-02 20:00:00",63,80,"$0.00","$0.00",81,"$0.25","$20.00",1
